Forest,Obs_Type,PAC_Name,NOGO_Confirmed,Survey_Date,Calc_Nest_Lat_DD,Calc_Nest_Long_DD,Comments
Stanislaus,PreyRemainsY,Fraser Flat,Yes,6/13/2021,38.17521667,-120.0536667,"small bird, grey feathers"
Stanislaus,SeenAndHeard,Cow Crk Upper,Yes,6/8/2021,38.24278333,-119.9827333,Alarm call from one adult
Stanislaus,SeenAndHeard,Cow Crk Upper,Yes,6/8/2021,38.2433,-119.9839333,Alarm call from two adults
Stanislaus,MoltedFeather,Cow Crk Upper,Yes,6/8/2021,38.2433,-119.9839333,Adult primary
Stanislaus,Whitewash,Cow Crk Upper,Yes,6/8/2021,38.2433,-119.9839333,Ring of whitewash around nest tree
Stanislaus,MoltedFeather,Cow Crk Upper,Yes,6/8/2021,38.24178333,-119.98155,body feather
Stanislaus,Whitewash,Cow Crk Upper,Yes,6/8/2021,38.24178333,-119.98155,found with body feather
Stanislaus,Whitewash,Cow Crk Upper,Yes,6/8/2021,38.24318333,-119.9835833,close to nest
Stanislaus,PreyRemainsY,SNF1,Yes,6/7/2021,38.08138333,-120.1925667,grey fleather fluff
Stanislaus,InactiveNest,Tunnel Crk,Yes,6/20/2021,38.167,-120.1276667,
Stanislaus,InactiveNest,Tunnel Crk,Yes,6/20/2021,38.16658333,-120.1278333,
Stanislaus,InactiveNest,Tunnel Crk,Yes,6/21/2021,38.17133333,-120.1244333,
Stanislaus,MoltedFeather,SNF8,Yes,7/2/2021,38.22646667,-120.0076333,juvinile secondary
Stanislaus,PreyRemainsY,SNF8,Yes,7/2/2021,38.23255,-120.0065667,squirrel tail
Stanislaus,PreyRemainsY,SNF8,Yes,7/2/2021,38.21365,-120.0196167,band tailed pigeon remains
Stanislaus,MoltedFeather,Brushy Hollow,Yes,7/1/2021,38.23661667,-120.08375,"adult secondary, very faintly pigmented"
Stanislaus,MoltedFeather,SNF4,Yes,7/24/2021,38.18395,-120.07125,adult body feather
Stanislaus,MoltedFeather,SNF4,Yes,7/24/2021,38.18385,-120.0711167,juvenile wing/primary
Stanislaus,MoltedFeather,SNF4,Yes,7/24/2021,38.18378333,-120.0710333,"same as first feather, [aduly body feather], visible in nest"
Stanislaus,ActiveNest,SNF4,Yes,7/24/2021,38.18378333,-120.0710333,no birds on nest
Stanislaus,Whitewash,SNF4,Yes,7/24/2021,38.18378333,-120.0710333,
Stanislaus,Auditory,SNF4,Yes,7/24/2021,38.18438333,-120.0709833,"begging call, called for several minutes (heard this before we found the nest)"
Stanislaus,MoltedFeather,SNF4,Yes,7/24/2021,38.18381667,-120.0709,juvenile secondary
Stanislaus,MoltedFeather,SNF4,Yes,7/24/2021,38.18436667,-120.07195,juvenile body feather
Stanislaus,Visual,Smoothwire Cr,Yes,7/19/2021,38.26176667,-120.0593333,"10:18, bearing 265 degrees, comments below"
Stanislaus,MoltedFeather,SNF4,Yes,7/18/2021,38.18256667,-120.0776333,juvinile covert
Stanislaus,SeenAndHeard,SNF4,Yes,7/18/2021,38.18485,-120.0717667,"Alarm call for about 3 or 4 minutes, squeeky. Audio recorded. Flew toward me from 120 degrees and perched above, flew away the direction it came from"
Stanislaus,SeenAndHeard,SNF4,Yes,7/18/2021,38.1839,-120.0711667,7:40 pm. Same bird as before alarm calling from a snag
Stanislaus,MoltedFeather,SNF4,Yes,7/18/2021,38.18421667,-120.07165,Juvinile flight feather
Stanislaus,Visual,SNF4,Yes,7/18/2021,38.18168333,-120.07445,"NOGO flying very high,240 degrees"
Stanislaus,MoltedFeather,Cow Cr Lower,Yes,7/11/2021,38.23138333,-120.0118333,Adult primary feather found by creek
Stanislaus,MoltedFeather,SNF15,Yes,8/9/2021,38.16335,-120.1452833,
Stanislaus,InactiveNest,Soap Crk,Yes,8/12/2021,38.20775,-120.1786333,probably an old COHA nest
Stanislaus,InactiveNest,Soap Crk,Yes,8/12/2021,38.20776667,-120.17985,Old NOGO nest
Stanislaus,Whitewash,Soap Crk,Yes,8/12/2021,38.2072,-120.1782667,
Stanislaus,MoltedFeather,Soap Crk,Yes,8/12/2021,38.20865,-120.18085,Adult NOGO back feather
Stanislaus,MoltedFeather,Soap Crk,Yes,8/12/2021,38.2072,-120.1782667,
Stanislaus,MoltedFeather,Soap Crk,Yes,8/12/2021,38.20721667,-120.17825,NOGO body feather
Stanislaus,MoltedFeather,Soap Crk,Yes,8/12/2021,38.20688333,-120.1777667,Adult NOGO body feather
Stanislaus,PreyRemainsY,Soap Crk,Yes,8/12/2021,38.20686667,-120.1778667,squirrel fur
Stanislaus,PreyRemainsY,Soap Crk,Yes,8/12/2021,38.20743333,-120.177,small bird
Stanislaus,MoltedFeather,Soap Crk,Yes,8/12/2021,38.2074,-120.1792667,NOGO Juvinile body feather
Stanislaus,PreyRemainsY,Soap Crk,Yes,8/12/2021,38.20718333,-120.1783167,small bird breast bone
Stanislaus,MoltedFeather,Soap Crk,Yes,8/12/2021,38.20711667,-120.1783,NOGO Adult Primary Feather
Stanislaus,MoltedFeather,Soap Crk,Yes,8/12/2021,38.21375,-120.17835,3 NOGO body feathers
Stanislaus,MoltedFeather,SNF11,Yes,8/2/2021,38.28546667,-120.07835,JUV primary + fluff
Stanislaus,MoltedFeather,SNF11,Yes,8/2/2021,38.28546667,-120.07835,Unknown juvinile feather
Stanislaus,MoltedFeather,SNF10,Yes,7/30/2021,38.25411667,-119.9831,juvenile tail
Stanislaus,MoltedFeather,SNF6,Yes,8/17/2021,38.16291667,-120.0652667,
Stanislaus,MoltedFeather,Campoodle Cr Lower,Yes,8/5/2021,38.28408333,-120.0445167,4 flight feathers and breast feathers near nest
Stanislaus,Whitewash,Campoodle Cr Lower,Yes,8/5/2021,38.2846,-120.0442167,
Stanislaus,PreyRemainsY,Campoodle Cr Lower,Yes,8/5/2021,38.28393333,-120.0445,band tailed pigeon
Stanislaus,MoltedFeather,Campoodle Cr Lower,Yes,8/5/2021,38.28436667,-120.0448167,possible breast feather
Stanislaus,ActiveNest,Campoodle Cr Lower,Yes,8/5/2021,38.28408333,-120.0445167,
Stanislaus,InactiveNest,Campoodle Cr Lower,Yes,8/5/2021,38.28411667,-120.0445333,right near the active nest
Stanislaus,PreyRemainsY,Campoodle Cr Lower,Yes,8/5/2021,38.284,-120.0446833,mountain quail
Stanislaus,SeenAndHeard,Campoodle Cr Lower,Yes,8/5/2021,38.28443333,-120.0449667,fledged juvinile NOGO
Stanislaus,Visual,Campoodle Cr Lower,Yes,8/5/2021,38.28385,-120.0460833,Adult NOGO
Stanislaus,SeenAndHeard,SNF-unnamed,Yes,6/2/2021,38.09198333,-120.3542667,
Stanislaus,PreyRemainsY,SNF14,Yes,7/2/2021,38.26258333,-119.9760333,Band-tailed Pigeon
Stanislaus,PluckingPost,SNF14,Yes,7/2/2021,38.25888333,-119.9748,Common Raven
Stanislaus,PreyRemainsY,SNF14,Yes,7/2/2021,38.25861667,-119.9744167,Squirrel Tail
Stanislaus,Whitewash,Fraser Flat,Yes,6/13/2021,38.17243333,-120.0563333,
Stanislaus,PluckingPost,Brushy Hollow,Yes,5/6/2022,38.23898333,-120.07685,Stellar's jay feathers
Stanislaus,PreyRemainsY,Campoodle Cr Lower,Yes,5/5/2022,38.28341667,-120.0450833,squirrel tail
Stanislaus,Whitewash,Campoodle Cr Lower,Yes,5/5/2022,38.28355,-120.0453333,scattered at base of tree
Stanislaus,Whitewash,Campoodle Cr Lower,Yes,5/5/2022,38.28341667,-120.0442167,scattered at base of tree
Stanislaus,Whitewash,Cow Crk Upper,Yes,6/1/2022,38.24123333,-119.9820833,
Stanislaus,Whitewash,Cow Crk Upper,Yes,6/1/2022,38.24156667,-119.9819,
Stanislaus,MoltedFeather,Cow Crk Upper,Yes,6/1/2022,38.2414,-119.9819667,Poor condition
Stanislaus,SeenAndHeard,Cow Crk Upper,Yes,6/2/2022,38.24075,-119.9807667,Adult Goshawk
Stanislaus,SeenAndHeard,Cow Crk Upper,Yes,6/2/2022,38.24048333,-119.98115,Adult Goshawk
Stanislaus,SeenAndHeard,Cow Crk Upper,Yes,6/2/2022,38.24095,-119.98165,Adult Goshawk
Stanislaus,Whitewash,Cow Crk Upper,Yes,6/2/2022,38.24311667,-119.9815833,
Stanislaus,Auditory,Cow Crk Upper,Yes,6/2/2022,38.24143333,-119.9811167,Female Wail
Stanislaus,Whitewash,Cow Crk Upper,Yes,6/2/2022,38.24156667,-119.9817167,
Stanislaus,Visual,Cow Crk Upper,Yes,6/2/2022,38.2415,-119.9810833,Soaring Overhead
Stanislaus,Whitewash,Cow Crk Upper,Yes,6/2/2022,38.24133333,-119.9816,
Stanislaus,Whitewash,Cow Crk Upper,Yes,6/2/2022,38.24196667,-119.97715,
Stanislaus,Whitewash,Tunnel Crk,Yes,6/21/2022,38.16663333,-120.1282333,
Stanislaus,Whitewash,Tunnel Crk,Yes,6/21/2022,38.16666667,-120.12795,
Stanislaus,MoltedFeather,Tunnel Crk,Yes,6/21/2022,38.16726667,-120.1280667,
Stanislaus,PreyRemainsY,Tunnel Crk,Yes,6/21/2022,38.16676667,-120.1282167,Flicker
Stanislaus,Whitewash,Tunnel Crk,Yes,6/21/2022,38.16688333,-120.1280333,
Stanislaus,Whitewash,Tunnel Crk,Yes,6/21/2022,38.16693333,-120.1280333,
Stanislaus,MoltedFeather,Pikes Peak East,Yes,7/21/2022,38.2601,-119.9726167,Body feather
Stanislaus,PreyRemainsY,Pikes Peak East,Yes,7/21/2022,38.2587,-119.9720167,Right by NOGO MF
Stanislaus,MoltedFeather,Pikes Peak East,Yes,7/21/2022,38.25888333,-119.97215,
Stanislaus,MoltedFeather,Soap Crk,Yes,7/20/2022,38.20743333,-120.179,
Stanislaus,Whitewash,Soap Crk,Yes,7/20/2022,38.20758333,-120.1795167,
Stanislaus,Whitewash,Soap Crk,Yes,7/20/2022,38.20775,-120.1797667,
Stanislaus,Whitewash,Soap Crk,Yes,7/20/2022,38.20823333,-120.1788167,
Stanislaus,Whitewash,Soap Crk,Yes,7/20/2022,38.20781667,-120.17925,
Stanislaus,Whitewash,Soap Crk,Yes,7/20/2022,38.20765,-120.1793167,
Stanislaus,Whitewash,Soap Crk,Yes,7/20/2022,38.20778333,-120.1797333,
Stanislaus,PreyRemainsY,Soap Crk,Yes,7/20/2022,38.20776667,-120.1797167,Mouse/rodent
Stanislaus,MoltedFeather,Soap Crk,Yes,7/20/2022,38.20751667,-120.1793333,
Stanislaus,Whitewash,Soap Crk,Yes,7/20/2022,38.20848333,-120.1785667,
Stanislaus,Whitewash,Soap Crk,Yes,7/20/2022,38.2079,-120.1791,
Stanislaus,Visual,Soap Crk,Yes,7/20/2022,38.20778333,-120.1792667,Adult pair - same birds as detection
Stanislaus,MoltedFeather,Soap Crk,Yes,7/20/2022,38.20761667,-120.17965,
Stanislaus,MoltedFeather,Soap Crk,Yes,7/20/2022,38.20776667,-120.1798833,
Stanislaus,Whitewash,Soap Crk,Yes,7/20/2022,38.20785,-120.1797167,
Stanislaus,Whitewash,Soap Crk,Yes,7/20/2022,38.20758333,-120.17905,
Stanislaus,MoltedFeather,Star Ridge,Yes,7/18/2022,38.11961667,-120.2005833,!! :)
Stanislaus,PreyRemainsY,Herring Cr,Yes,7/31/2022,38.22233333,-119.9695667,Squirrel/chpmunk - very fresh leg.
Stanislaus,Whitewash,Herring Cr,Yes,7/31/2022,38.22226667,-119.9694667,
Stanislaus,Whitewash,Herring Cr,Yes,7/31/2022,38.22226667,-119.9695,
Stanislaus,Whitewash,Herring Cr,Yes,7/31/2022,38.22223333,-119.96955,
Stanislaus,Whitewash,Herring Cr,Yes,7/31/2022,38.22211667,-119.9704667,
Stanislaus,Whitewash,Herring Cr,Yes,7/31/2022,38.22136667,-119.9710667,
Stanislaus,Whitewash,Herring Cr,Yes,7/31/2022,38.22225,-119.96955,
Stanislaus,Whitewash,Herring Cr,Yes,7/31/2022,38.2224,-119.9687167,
Stanislaus,MoltedFeather,Herring Cr,Yes,7/31/2022,38.22221667,-119.9695667,
Stanislaus,Whitewash,Smoothwire Cr,Yes,7/28/2022,38.26491667,-120.05645,
Stanislaus,Whitewash,Smoothwire Cr,Yes,7/28/2022,38.26495,-120.0562,
Stanislaus,Whitewash,Smoothwire Cr,Yes,7/28/2022,38.26645,-120.0562,
Stanislaus,MoltedFeather,Smoothwire Cr,Yes,7/28/2022,38.2645,-120.0581833,Body feather.
Stanislaus,Whitewash,Smoothwire Cr,Yes,7/28/2022,38.26481667,-120.0561,
Stanislaus,Whitewash,Smoothwire Cr,Yes,7/28/2022,38.26485,-120.0564,
Stanislaus,Whitewash,Smoothwire Cr,Yes,7/28/2022,38.2649,-120.0561667,
Stanislaus,Auditory,Smoothwire Cr,Yes,7/28/2022,38.26478333,-120.0590333,Heard goshawk.
Stanislaus,Auditory,Smoothwire Cr,Yes,7/28/2022,38.26423333,-120.0579167,Alarm call.
Stanislaus,SeenAndHeard,Smoothwire Cr,Yes,7/28/2022,38.26448333,-120.0562167,Juvenile.
Stanislaus,Whitewash,Smoothwire Cr,Yes,7/28/2022,38.26485,-120.0562167,
Stanislaus,PreyRemainsY,Spring Gap Old,Yes,6/6/2023,38.1868,-120.0847,BTPI feathers clumped together
Stanislaus,MoltedFeather,Smoothwire Cr,Yes,6/1/2023,38.26346667,-120.0583667,secondary feather
Stanislaus,PreyRemainsY,Smoothwire Cr,Yes,6/1/2023,38.26355,-120.0579833,potential squirrel tail
Stanislaus,MoltedFeather,Smoothwire Cr,Yes,6/1/2023,38.26371667,-120.0582833,potential body feather
Stanislaus,MoltedFeather,Smoothwire Cr,Yes,6/1/2023,38.2635,-120.0583,primary feather
Stanislaus,Whitewash,Smoothwire Cr,Yes,6/1/2023,38.26351667,-120.05795,
Stanislaus,PreyRemainsY,Smoothwire Cr,Yes,6/1/2023,38.26351667,-120.0584167,AMRO kill site
Stanislaus,Whitewash,Smoothwire Cr,Yes,6/1/2023,38.26341667,-120.0583833,
Stanislaus,Whitewash,Smoothwire Cr,Yes,6/1/2023,38.26365,-120.0582333,
Stanislaus,Whitewash,Smoothwire Cr,Yes,6/1/2023,38.26335,-120.0581833,
Stanislaus,PreyRemainsY,Smoothwire Cr,Yes,6/1/2023,38.26396667,-120.0577833,STJA kill site
Stanislaus,PreyRemainsY,Skull Crk,Yes,5/31/2023,38.25996667,-120.1156167,big feather clump of quail kill
Stanislaus,MoltedFeather,Sam Williams,Yes,6/18/2023,38.08166667,-120.1186333,primary
Stanislaus,MoltedFeather,Skull Crk,Yes,6/21/2023,38.26016667,-120.11775,contour feather
Stanislaus,MoltedFeather,Skull Crk,Yes,6/21/2023,38.26005,-120.1178667,
Stanislaus,Whitewash,Skull Crk,Yes,6/21/2023,38.26008333,-120.1178333,lots trailing towards nest
Stanislaus,Other,Skull Crk,Yes,6/21/2023,38.26001667,-120.1177833,light blueish eggshell under tree
Stanislaus,Whitewash,Skull Crk,Yes,6/21/2023,38.26001667,-120.1178333,
Stanislaus,MoltedFeather,Skull Crk,Yes,6/21/2023,38.25936667,-120.1187333,secondary/primary feather
Stanislaus,Whitewash,Sheering Cr West,Yes,6/25/2023,38.17083333,-120.0000167,
Stanislaus,Whitewash,Sheering Cr West,Yes,6/25/2023,38.17128333,-119.9906333,
Stanislaus,MoltedFeather,Sheering Cr West,Yes,6/25/2023,38.17126667,-119.9906833,
Stanislaus,MoltedFeather,Sheering Cr West,Yes,6/25/2023,38.17131667,-119.9907833,Primary
Stanislaus,PreyRemainsY,Sheering Cr West,Yes,6/25/2023,38.17165,-119.9904167,"Woodpecker
Woodpecker"
Stanislaus,Whitewash,Sheering Cr West,Yes,6/25/2023,38.17125,-119.9904167,
Stanislaus,MoltedFeather,Sheering Cr West,Yes,6/25/2023,38.17138333,-119.9903,
Stanislaus,MoltedFeather,Sheering Cr West,Yes,6/25/2023,38.17128333,-119.9907167,Primary
Stanislaus,MoltedFeather,Sheering Cr West,Yes,6/25/2023,38.17131667,-119.9906333,
Stanislaus,Whitewash,Sheering Cr West,Yes,6/25/2023,38.17135,-119.9906,
Stanislaus,SeenAndHeard,Mt Lewis,Yes,7/25/2023,38.0383,-120.1531333,Adult.
Stanislaus,SeenAndHeard,Mt Lewis,Yes,7/25/2023,38.0383,-120.1531333,Juvenile.
Stanislaus,Whitewash,Mt Lewis,Yes,7/29/2023,38.03826667,-120.1535,
Stanislaus,SeenAndHeard,Mt Lewis,Yes,7/29/2023,38.0389,-120.1536667,Juvenile following parent.
Stanislaus,Whitewash,Mt Lewis,Yes,7/29/2023,38.03771667,-120.1529,Downy feathers in area.
Stanislaus,Whitewash,Mt Lewis,Yes,7/29/2023,38.03835,-120.1536,
Stanislaus,PreyRemainsY,Mt Lewis,Yes,7/29/2023,38.0384,-120.1536333,Squirrel hindquarters.
Stanislaus,MoltedFeather,Mt Lewis,Yes,7/29/2023,38.03841667,-120.15365,Secondary.
