"","Service","City","Facility","State"
"50","Community Based Outpatient Clinic","Safford","Safford VA Clinic","Arizona"
"51","Community Based Outpatient Clinic","Show Low","Show Low VA Clinic","Arizona"
"52","Community Based Outpatient Clinic","Sierra Vista","Sierra Vista VA Clinic","Arizona"
"53","Community Based Outpatient Clinic","Surprise","Northwest VA Clinic","Arizona"
"54","Community Based Outpatient Clinic","Tuba City","Tuba City VA Clinic","Arizona"
"55","Community Based Outpatient Clinic","Tucson","Northwest Tucson VA Clinic","Arizona"
"56","Community Based Outpatient Clinic","Tucson","Southeast Tucson VA Clinic","Arizona"
"57","Community Based Outpatient Clinic","Yuma","Yuma VA Clinic","Arizona"
"58","VA Medical Center","Fayetteville","Veterans Health Care System of the Ozarks","Arkansas"
"59","VA Medical Center","Little Rock","Central Arkansas Veterans Healthcare System – John L. McClellan Memorial Veterans Hospital","Arkansas"
"60","VA Medical Center","North Little Rock","Central Arkansas Veterans Healthcare System – Eugene J. Towbin Healthcare Center","Arkansas"
"61","Community Based Outpatient Clinic","Conway","Conway VA Clinic","Arkansas"
"62","Community Based Outpatient Clinic","El Dorado","El Dorado VA Clinic","Arkansas"
"63","Community Based Outpatient Clinic","Ft Smith","Fort Smith VA Clinic","Arkansas"
"64","Community Based Outpatient Clinic","Harrison","Harrison VA Clinic","Arkansas"
"65","Community Based Outpatient Clinic","Helena","Helena VA Clinic","Arkansas"
"66","Community Based Outpatient Clinic","Hot Springs","Hot Springs VA Clinic","Arkansas"
"67","Community Based Outpatient Clinic","Jonesboro","Jonesboro VA Clinic","Arkansas"
"68","Community Based Outpatient Clinic","Mena","Mena VA Clinic","Arkansas"
"69","Community Based Outpatient Clinic","Mountain Home","Mountain Home VA Clinic","Arkansas"
"70","Community Based Outpatient Clinic","Ozack","Ozark VA Clinic","Arkansas"
"71","Community Based Outpatient Clinic","Paragould","Paragould VA Clinic","Arkansas"
"72","Community Based Outpatient Clinic","Pina Bluff","Pine Bluff VA Clinic","Arkansas"
"73","Community Based Outpatient Clinic","Pocahontas","Pocahontas VA Clinic","Arkansas"
"74","Community Based Outpatient Clinic","Russellville","Russellville VA Clinic","Arkansas"
"75","Community Based Outpatient Clinic","Searcy","Searcy VA Clinic","Arkansas"
"76","Community Based Outpatient Clinic","Texarkana","Texarkana VA Clinic","Arkansas"
"77","VA Medical Center","Fresno","Fresno VA Medical Center","California"
"78","VA Medical Center","Livermore","Palo Alto VA Medical Center – Livermore","California"
"79","VA Medical Center","Loma Linda","Jerry L. Pettis Memorial Veterans' Hospital","California"
"80","VA Medical Center","Long Beach","VA Long Beach Healthcare System","California"
"81","VA Medical Center","Los Angeles","West Los Angeles VA Medical Center","California"
"82","VA Medical Center","Martinez","Martinez VA Medical Center","California"
"83","VA Medical Center","Mather","Sacramento VA Medical Center","California"
"84","VA Medical Center","Menlo Park","Palo Alto VA Medical Center – Menlo Park","California"
"85","VA Medical Center","Palo Alto","Palo Alto VA Medical Center","California"
"86","VA Medical Center","San Diego","Jennifer Moreno Department of Veterans Affairs Medical Center","California"
"87","VA Medical Center","San Francisco","San Francisco VA Medical Center","California"
"88","Domiciliary","San Diego","San Diego VA Domiciliary","California"
"89","Outpatient Clinic","Atwater","VA Castle Outpatient Clinic","California"
"90","Outpatient Clinic","Auburn","Sierra Foothills Outpatient Clinic","California"
"91","Outpatient Clinic","Los Angeles","VA Los Angeles West Ambulatory Care Center","California"
"92","Outpatient Clinic","Marina","Major General William H. Gourley VA-DoD Outpatient Clinic","California"
"93","Outpatient Clinic","McClellan","McClellan VA Clinic","California"
"94","Outpatient Clinic","North Hills","VA Sepulveda Ambulatory Care Center","California"
"95","Outpatient Clinic","Oceanside","Oceanside VA Clinic","California"
"96","Outpatient Clinic","Redding","Reading Outpatient Clinic","California"
"97","Outpatient Clinic","San Jose","San Jose VA Clinic","California"
"98","Outpatient Clinic","Ventura","Captain Rosemary Bryant Mariner Outpatient Clinic","California"
"99","Community Based Outpatient Clinic","Anaheim","Anaheim VA Clinic","California"
"100","Community Based Outpatient Clinic","Bakersfield","Bakersfield VA Clinic","California"
"101","Community Based Outpatient Clinic","Blythe","Blythe VA Clinic","California"
"102","Community Based Outpatient Clinic","Brawley","Imperial Valley","California"
"103","Community Based Outpatient Clinic","Capitola","Capitola VA Clinic","California"
"104","Community Based Outpatient Clinic","Chico","Chico VA Clinic","California"
"105","Community Based Outpatient Clinic","Chula Vista","Chula Vista VA Clinic","California"
"106","Community Based Outpatient Clinic","Clearlake","Clearlake VA Clinic","California"
"107","Community Based Outpatient Clinic","Commerce","East Los Angeles VA Clinic","California"
"108","Community Based Outpatient Clinic","Corona","Corona VA Clinic","California"
"109","Community Based Outpatient Clinic","El Centro","Imperial Valley VA Clinic","California"
"110","Community Based Outpatient Clinic","Escondido","Escondido VA Clinic","California"
"111","Community Based Outpatient Clinic","Eureka","Eureka VA Clinic","California"
"112","Community Based Outpatient Clinic","Fremont","Fremont VA Clinic","California"
"113","Community Based Outpatient Clinic","French Camp","Richard A. Pittman VA Clinic","California"
"114","Community Based Outpatient Clinic","Laguna Hills","Laguna Hills VA Clinic","California"
"115","Community Based Outpatient Clinic","Lancaster","Antelope Valley VA Clinic","California"
"116","Community Based Outpatient Clinic","Long Beach","Cabrillo VA Clinic","California"
"117","Community Based Outpatient Clinic","Los Angeles","Los Angeles VA Clinic","California"
"118","Community Based Outpatient Clinic","Mare Island","Mare Island VA Clinic","California"
"119","Community Based Outpatient Clinic","Merced","Merced VA Clinic","California"
"120","Community Based Outpatient Clinic","Modesto","Modesto VA Clinic","California"
"121","Community Based Outpatient Clinic","Murrieta","Murrieta VA Clinic","California"
"122","Community Based Outpatient Clinic","Oakhurst","Oakhurst VA Clinic","California"
"123","Community Based Outpatient Clinic","Oakland","Oakland VA Clinic","California"
"124","Community Based Outpatient Clinic","Oakland","Twenty First Street VA Clinic","California"
"125","Community Based Outpatient Clinic","Oxnard","Oxnard VA Clinic","California"
"126","Community Based Outpatient Clinic","Palm Desert","Palm Desert VA Clinic","California"
"127","Community Based Outpatient Clinic","Rancho Cucamonga","Rancho Cucamonga VA Clinic","California"
"128","Community Based Outpatient Clinic","Rancho Murieta","Rancho Murieta VA Clinic","California"
"129","Community Based Outpatient Clinic","Redlands","Redlands Blvd. VA Clinic","California"
"130","Community Based Outpatient Clinic","San Bruno","San Bruno VA Clinic","California"
"131","Community Based Outpatient Clinic","San Diego","Mission Valley VA Clinic","California"
"132","Community Based Outpatient Clinic","San Diego","Rio VA Clinic","California"
"133","Community Based Outpatient Clinic","San Diego","Sorrento Valley Clinic","California"
"134","Community Based Outpatient Clinic","San Francisco","San Francisco VA Clinic","California"
"135","Community Based Outpatient Clinic","San Luis Obispo","San Luis Obispo VA Clinic","California"
"136","Community Based Outpatient Clinic","Santa Ana","Santa Ana VA Clinic","California"
"137","Community Based Outpatient Clinic","Santa Barbara","Santa Barbara VA Clinic","California"
"138","Community Based Outpatient Clinic","Santa Fe Springs","Santa Fe Springs VA Clinic","California"
"139","Community Based Outpatient Clinic","Santa Maria","Santa Maria VA Clinic","California"
"140","Community Based Outpatient Clinic","Santa Rosa","Santa Rosa VA Clinic","California"
"141","Community Based Outpatient Clinic","Sonora","Sonora VA Clinic","California"
"142","Community Based Outpatient Clinic","Susanville","Diamond View VA Clinic","California"
"143","Community Based Outpatient Clinic","Travis Air Force Base","Fairfield VA Clinic","California"
"144","Community Based Outpatient Clinic","Tulare","Tulare VA Clinic","California"
"145","Community Based Outpatient Clinic","Ukiah","Ukiah VA Clinic","California"
"146","Community Based Outpatient Clinic","Victorville","Victorville VA Clinic","California"
"147","Community Based Outpatient Clinic","Yreka","Yreka VA Clinic","California"
"148","Community Based Outpatient Clinic","Yuba City","Yuba City VA Clinic","California"
"149","VA Medical Center","Aurora","VA Eastern Colorado Health Care System – Rocky Mountain Regional VA Medical Center","Colorado"
"150","VA Medical Center","Grand Junction","VA Western Colorado Health Care System – Grand Junction VA Medical Center","Colorado"
"151","Outpatient Clinic","Aurora","Jewell VA Clinic","Colorado"
"152","Outpatient Clinic","Colorado Springs","PFC Floyd K. Lindstrom Department of Veterans Affairs Clinic","Colorado"
"153","Community Based Outpatient Clinic","Alamosa","Alamosa VA Clinic","Colorado"
"154","Community Based Outpatient Clinic","Aurora","VA Eastern Colorado Health Care System – Aurora VA Clinic","Colorado"
"155","Community Based Outpatient Clinic","Burlington","Burlington VA Clinic","Colorado"
"156","Community Based Outpatient Clinic","Craig","Major William Edward Adams Department of Veterans Affairs Clinic","Colorado"
"157","Community Based Outpatient Clinic","Denver","Denver VA Clinic","Colorado"
"158","Community Based Outpatient Clinic","Durango","Durango VA Clinic","Colorado"
"159","Community Based Outpatient Clinic","Fort Collins","Fort Collins VA Clinic","Colorado"
"160","Community Based Outpatient Clinic","Glenwood Springs","Glenwood Springs VA Clinic","Colorado"
"161","Community Based Outpatient Clinic","Golden","Golden VA Clinic","Colorado"
"162","Community Based Outpatient Clinic","La Junta","La Junta VA Clinic","Colorado"
"163","Community Based Outpatient Clinic","Lamar","Lamar VA Clinic","Colorado"
"164","Community Based Outpatient Clinic","Loveland","Loveland VA Clinic","Colorado"
"165","Community Based Outpatient Clinic","Montrose","Montrose VA Clinic","Colorado"
"166","Community Based Outpatient Clinic","Pueblo","PFC James Dunn VA Clinic","Colorado"
"167","Community Based Outpatient Clinic","Salida","Salida VA Clinic","Colorado"
"168","Community Based Outpatient Clinic","Sterling","Sterling VA Clinic","Colorado"
"169","VA Medical Center","West Haven","West Haven VA Medical Center","Connecticut"
"170","Outpatient Clinic","Newington","Newington VA Clinic","Connecticut"
"171","Community Based Outpatient Clinic","Danbury","Danbury VA Clinic","Connecticut"
"172","Community Based Outpatient Clinic","New London","John J. McGuirk Department of Veterans Affairs Outpatient Clinic","Connecticut"
"173","Community Based Outpatient Clinic","Orange","Orange VA Clinic","Connecticut"
"174","Community Based Outpatient Clinic","Stamford","Stamford VA Clinic","Connecticut"
"175","Community Based Outpatient Clinic","Waterbury","Waterbury VA Clinic","Connecticut"
"176","Community Based Outpatient Clinic","West Haven","Errera VA Clinic","Connecticut"
"177","Community Based Outpatient Clinic","Willimantic","Willimantic VA Clinic","Connecticut"
"178","Community Based Outpatient Clinic","Winsted","Winsted VA Clinic","Connecticut"
"179","VA Medical Center","Wilmington","Wilmington VA Medical Center","Delaware"
"180","Community Based Outpatient Clinic","Dover","Kent County VA Clinic","Delaware"
"181","Community Based Outpatient Clinic","Georgetown","Sussex County VA Clinic","Delaware"
"182","VA Medical Center","Washington","Washington VA Medical Center","District of Columbia"
"183","Community Based Outpatient Clinic","Washington","Franklin Street VA Clinic","District of Columbia"
"184","Community Based Outpatient Clinic","Washington","Southeast Washington VA Clinic","District of Columbia"
"185","VA Medical Center","Bay Pines","Bay Pines VA Healthcare System – C.W. Bill Young VA Medical Center","Florida"
"186","VA Medical Center","Gainesville","Malcom Randall Department of Veterans Affairs Medical Center","Florida"
"187","VA Medical Center","Lake City","Lake City VA Medical Center","Florida"
"188","VA Medical Center","Miami","Bruce W. Carter Department of Veterans Affairs Medical Center","Florida"
"189","VA Medical Center","Orlando","Orlando VA Medical Center","Florida"
"190","VA Medical Center","Tampa","James A. Haley VA Medical Center","Florida"
"191","VA Medical Center","West Palm Beach","West Palm Beach VA Medical Center","Florida"
"192","VA/DoD Medical Center","Naval Air Station Jacksonville","Jacksonville Navy VA Medical Center","Florida"
"193","Domiciliary","Miami","Miami Flagler VA Clinic","Florida"
"194","Outpatient Clinic","Cape Coral","Lee County VA Clinic","Florida"
"195","Outpatient Clinic","Daytona Beach","William V. Chappell, Jr. Veterans' Outpatient Clinic","Florida"
"196","Outpatient Clinic","Jacksonville","Jacksonville 1 Outpatient Clinic","Florida"
"197","Outpatient Clinic","New Port Richey","New Port Richey Outpatient Clinic","Florida"
"198","Outpatient Clinic","Orlando","Lake Baldwin VA Clinic","Florida"
"199","Outpatient Clinic","Sunrise","William ""Bill"" Kling VA Clinic","Florida"
"200","Outpatient Clinic","Tallahassee","Sergeant Ernest I. ""Boots"" Thomas VA Clinic","Florida"
"201","Outpatient Clinic","The Villages","The Villages VA Clinic","Florida"
"202","Outpatient Clinic","Viera","Viera VA Clinic","Florida"
"203","Community Based Outpatient Clinic","Boca Raton","Boca Raton VA Clinic","Florida"
"204","Community Based Outpatient Clinic","Bradenton","Bradenton VA Clinic","Florida"
"205","Community Based Outpatient Clinic","Brooksville","Brooksville VA Clinic","Florida"
"206","Community Based Outpatient Clinic","Clermont","Clermont VA Clinic","Florida"
"207","Community Based Outpatient Clinic","Deerfield Beach","Deerfield Beach VA Clinic","Florida"
"208","Community Based Outpatient Clinic","Delray Beach","Delray Beach VA Clinic","Florida"
"209","Community Based Outpatient Clinic","Deltona","Deltona VA Clinic","Florida"
"210","Community Based Outpatient Clinic","Eglin Air Force Base","Eglin Air Force Base VA Clinic","Florida"
"211","Community Based Outpatient Clinic","Fort Pierce","Fort Pierce VA Clinic","Florida"
"212","Community Based Outpatient Clinic","Gainesville","Gainesville Ninety Eighth Street VA Clinic","Florida"
"213","Community Based Outpatient Clinic","Gainesville","Gainesville Sixteenth Street VA Clinic","Florida"
"214","Community Based Outpatient Clinic","Gainesville","Gainesville Sixty Fourth Street 3 VA Clinic","Florida"
"215","Community Based Outpatient Clinic","Gainesville","Twenty Third Avenue VA Clinic","Florida"
"216","Community Based Outpatient Clinic","Hollywood","Hollywood VA Clinic","Florida"
"217","Community Based Outpatient Clinic","Hollywood","Pembroke Pines VA Clinic","Florida"
"218","Community Based Outpatient Clinic","Homestead","Homestead VA Clinic","Florida"
"219","Community Based Outpatient Clinic","Jacksonville","Southpoint Clinic","Florida"
"220","Community Based Outpatient Clinic","Key Largo","Key Largo VA Clinic","Florida"
"221","Community Based Outpatient Clinic","Key West","Key West VA Clinic","Florida"
"222","Community Based Outpatient Clinic","Kissimmee","Kissimmee VA Clinic","Florida"
"223","Community Based Outpatient Clinic","Lakeland","Lakeland VA Clinic","Florida"
"224","Community Based Outpatient Clinic","Lake City","Lake City VA Clinic","Florida"
"225","Community Based Outpatient Clinic","Lecanto","Lecanto VA Clinic","Florida"
"226","Community Based Outpatient Clinic","Marianna","Marianna VA Clinic","Florida"
"227","Community Based Outpatient Clinic","Middleburg","A.K. Baker VA Clinic","Florida"
"228","Community Based Outpatient Clinic","Naples","Naples VA Clinic","Florida"
"229","Community Based Outpatient Clinic","Ocala","Ocala VA Clinic","Florida"
"230","Community Based Outpatient Clinic","Okeechobee","Okeechobee VA Clinic","Florida"
"231","Community Based Outpatient Clinic","Palatka","Palatka VA Clinic","Florida"
"232","Community Based Outpatient Clinic","Palm Bay","Palm Bay VA Clinic","Florida"
"233","Community Based Outpatient Clinic","Palm Harbor","Palm Harbor VA Clinic","Florida"
"234","Community Based Outpatient Clinic","Panama City Beach","Panama City Beach VA Clinic","Florida"
"235","Community Based Outpatient Clinic","Pensacola","Pensacola VA Clinic","Florida"
"236","Community Based Outpatient Clinic","Perry","Perry VA Clinic","Florida"
"237","Community Based Outpatient Clinic","Port Charlotte","Port Charlotte VA Clinic","Florida"
"238","Community Based Outpatient Clinic","Port Orange","Port Orange VA Clinic","Florida"
"239","Community Based Outpatient Clinic","Port St. Locie","Port Saint Lucie VA Clinic","Florida"
"240","Community Based Outpatient Clinic","Riverview","South Hillsborough VA Clinic","Florida"
"241","Community Based Outpatient Clinic","Sarasota","Sarasota VA Clinic","Florida"
"242","Community Based Outpatient Clinic","Sebring","Sebring VA Clinic","Florida"
"243","Community Based Outpatient Clinic","St. Augustine","PFC Leo C. Chase Jr. VA Clinic","Florida"
"244","Community Based Outpatient Clinic","St. Petersburg","St. Petersburg VA Clinic","Florida"
"245","Community Based Outpatient Clinic","Stuart","Stuart VA Clinic","Florida"
"246","Community Based Outpatient Clinic","Tampa","Bruce B. Downs Boulevard VA Clinic","Florida"
"247","Community Based Outpatient Clinic","Tampa","Forty Sixth Street North VA Clinic","Florida"
"248","Community Based Outpatient Clinic","Tampa","Hidden River VA Clinic","Florida"
"249","Community Based Outpatient Clinic","Tavares","Tavares VA Clinic","Florida"
"250","Community Based Outpatient Clinic","Vero Beach","Vero Beach VA Clinic","Florida"
"251","Community Based Outpatient Clinic","Winter Park","Crossroads VA Clinic","Florida"
"252","Community Based Outpatient Clinic","Zephyrhills","Medical View Lane VA Clinic","Florida"
"253","VA Medical Center","Augusta","Charlie Norwood VA Medical Center","Georgia"
"254","VA Medical Center","Decatur","Atlanta VA Medical Center","Georgia"
"255","VA Medical Center","Dublin","Carl Vinson VA Medical Center","Georgia"
"256","Outpatient Clinic","Carrollton","Trinka Davis Veterans Village","Georgia"
"257","Community Based Outpatient Clinic","Albany","Albany VA Clinic","Georgia"
"258","Community Based Outpatient Clinic","Athens","Athens VA Clinic","Georgia"
"259","Community Based Outpatient Clinic","Atlanta","Henderson Mill VA Clinic","Georgia"
"260","Community Based Outpatient Clinic","Atlanta","North Fulton County VA Clinic","Georgia"
"261","Community Based Outpatient Clinic","Atlanta","Fort McPherson VA Clinic","Georgia"
"262","Community Based Outpatient Clinic","Austell","Austell VA Clinic","Georgia"
"263","Community Based Outpatient Clinic","Blairsville","Blairsville VA Clinic","Georgia"
"264","Community Based Outpatient Clinic","Brookhaven","North DeKalb County VA Clinic","Georgia"
"265","Community Based Outpatient Clinic","Brunswick","Brunswick VA Clinic","Georgia"
"266","Community Based Outpatient Clinic","College Park","South Fulton County VA Clinic","Georgia"
"267","Community Based Outpatient Clinic","Columbus","Robert S. Poydasheff VA Clinic","Georgia"
"268","Community Based Outpatient Clinic","Columbus","Columbus Downtown VA Clinic","Georgia"
"269","Community Based Outpatient Clinic","Decatur","Atlanta VA Clinic","Georgia"
"270","Community Based Outpatient Clinic","Covington","Covington VA Clinic","Georgia"
"271","Community Based Outpatient Clinic","East Point","East Point VA Clinic","Georgia"
"272","Community Based Outpatient Clinic","East Point","Fulton County VA Clinic","Georgia"
"273","Community Based Outpatient Clinic","Flowery Branch","Oakwood VA Clinic","Georgia"
"274","Community Based Outpatient Clinic","Fort Benning","Fort Benning VA Clinic","Georgia"
"275","Community Based Outpatient Clinic","Hinesville","Hinesville VA Clinic","Georgia"
"276","Community Based Outpatient Clinic","Kathleen","Perry VA Clinic","Georgia"
"277","Community Based Outpatient Clinic","Lawrenceville","Gwinnett County VA Clinic","Georgia"
"278","Community Based Outpatient Clinic","Lawrenceville","Lawrenceville VA Clinic","Georgia"
"279","Community Based Outpatient Clinic","Macon","Macon VA Clinic","Georgia"
"280","Community Based Outpatient Clinic","Marietta","Austell VA Clinic","Georgia"
"281","Community Based Outpatient Clinic","Milledgeville","Milledgeville VA Clinic","Georgia"
"282","Community Based Outpatient Clinic","Newnan","Newnan VA Clinic","Georgia"
"283","Community Based Outpatient Clinic","Rome","Rome Clinic","Georgia"
"284","Community Based Outpatient Clinic","Savannah","Savannah VA Clinic","Georgia"
"285","Community Based Outpatient Clinic","Smyrna","South Cobb County VA Clinic","Georgia"
"286","Community Based Outpatient Clinic","Statesboro","Ray Hendrix Department of Veterans Affairs Clinic","Georgia"
"287","Community Based Outpatient Clinic","St. Marys","St. Marys VA Clinic","Georgia"
"288","Community Based Outpatient Clinic","Stockbridge","Stockbridge VA Clinic","Georgia"
"289","Community Based Outpatient Clinic","Tifton","Tifton VA Clinic","Georgia"
"290","Community Based Outpatient Clinic","Valdosta","Valdosta VA Clinic","Georgia"
"291","Community Based Outpatient Clinic","Waycross","Waycross VA Clinic","Georgia"
"292","VA Medical Center","Honolulu","Spark M. Matsunaga Department of Veterans Affairs Medical Center","Hawaii"
"293","Community Based Outpatient Clinic","Hilo","Hilo VA Clinic","Hawaii"
"294","Community Based Outpatient Clinic","Kaneohe","Windward VA Clinic","Hawaii"
"295","Community Based Outpatient Clinic","Kapolei","Daniel K. Akaka VA Clinic","Hawaii"
"296","Community Based Outpatient Clinic","Kailua-Kona","Kailua-Kona VA Clinic","Hawaii"
"297","Community Based Outpatient Clinic","Kaunakakai","Molokai VA Clinic","Hawaii"
"298","Community Based Outpatient Clinic","Lanai City","Lanai VA Clinic","Hawaii"
"299","Community Based Outpatient Clinic","Lihue","Lihue VA Clinic","Hawaii"
"300","VA Medical Center","Boise","Boise VA Medical Center","Idaho"
"301","Community Based Outpatient Clinic","Caldwell","Caldwell VA Clinic","Idaho"
"302","Community Based Outpatient Clinic","Coeur d'Alene","North Idaho Coeur d 'Alene VA Clinic","Idaho"
"303","Community Based Outpatient Clinic","Grangeville","Grangeville VA Outpatient Clinic","Idaho"
"304","Community Based Outpatient Clinic","Lewiston","Lewiston VA Clinic","Idaho"
"305","Community Based Outpatient Clinic","Mountain Home","Mountain Home VA Clinic","Idaho"
"306","Community Based Outpatient Clinic","Pocatello","Pocatello VA Clinic","Idaho"
"307","Community Based Outpatient Clinic","Ponderay","Sandpoint VA Clinic","Idaho"
"308","Community Based Outpatient Clinic","Salmon","Salmon VA Clinic","Idaho"
"309","Community Based Outpatient Clinic","Twin Falls","Twin Falls VA Clinic","Idaho"
"310","VA Medical Center","Chicago","Jesse Brown VA Medical Center","Illinois"
"311","VA Medical Center","Danville","Danville VA Medical Center","Illinois"
"312","VA Medical Center","Hines","Edward Hines Junior Hospital","Illinois"
"313","VA Medical Center","Marion","Marion VA Medical Center","Illinois"
"314","VA/DoD Medical Center","North Chicago","Captain James A. Lovell Federal Health Care Center","Illinois"
"315","Community Based Outpatient Clinic","Bloomington","Bloomington VA Clinic","Illinois"
"316","Community Based Outpatient Clinic","Bourbonnais","Kankakee County VA Clinic","Illinois"
"317","Community Based Outpatient Clinic","Carbondale","Carbondale VA Clinic","Illinois"
"318","Community Based Outpatient Clinic","Chicago","Auburn Gresham VA Clinic","Illinois"
"319","Community Based Outpatient Clinic","Chicago","Lakeside VA Clinic","Illinois"
"320","Community Based Outpatient Clinic","Chicago Heights","Chicago Heights VA Clinic","Illinois"
"321","Community Based Outpatient Clinic","Decatur","Decatur VA Clinic","Illinois"
"322","Community Based Outpatient Clinic","Effingham","Effingham VA Clinic","Illinois"
"323","Community Based Outpatient Clinic","Evanston","Evanston VA Clinic","Illinois"
"324","Community Based Outpatient Clinic","Freeport","Freeport VA Clinic","Illinois"
"325","Community Based Outpatient Clinic","Galesburg","Lane A. Evans VA Community Based Outpatient Clinic","Illinois"
"326","Community Based Outpatient Clinic","Hoffman Estates","Hoffman Estates VA Clinic","Illinois"
"327","Community Based Outpatient Clinic","Joliet","Joliet VA Clinic","Illinois"
"328","Community Based Outpatient Clinic","Harrisburg","Harrisburg VA Clinic","Illinois"
"329","Community Based Outpatient Clinic","Marion","Heartland Street VA Clinic","Illinois"
"330","Community Based Outpatient Clinic","Mattoon","Mattoon VA Clinic","Illinois"
"331","Community Based Outpatient Clinic","McHenry","McHenry VA Clinic","Illinois"
"332","Community Based Outpatient Clinic","Mount Vernon","Mount Vernon VA Clinic","Illinois"
"333","Community Based Outpatient Clinic","North Aurora","Aurora VA Clinic","Illinois"
"334","Community Based Outpatient Clinic","Peoria","Bob Michel Department of Veterans Affairs Outpatient Clinic","Illinois"
"335","Community Based Outpatient Clinic","Peru","LaSalle VA Clinic","Illinois"
"336","Community Based Outpatient Clinic","Oak Lawn","Oak Lawn VA Clinic","Illinois"
"337","Community Based Outpatient Clinic","Quincy","Quincy VA Clinic","Illinois"
"338","Community Based Outpatient Clinic","Rockford","Rockford VA Clinic","Illinois"
"339","Community Based Outpatient Clinic","Scott Air Force Base","Scott Air Force Base VA Clinic","Illinois"
"340","Community Based Outpatient Clinic","Shiloh","St. Clair County VA Clinic","Illinois"
"341","Community Based Outpatient Clinic","Springfield","Springfield VA Clinic","Illinois"
